Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,"Rate per 100,000 inhabitants",NA,923.2,7.8,50,116.9,748.5,4697.7,1271.2,3111.7,314.9
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",NA,831770,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Allentown, PA",120615,552,10,55,274,213,3337,668,2387,282
NA,"City of Bethlehem, PA3",74869,NA,4,21,58,NA,1487,213,1226,48
NA,Total area actually reporting,0.996,NA,22,160,483,NA,NA,2195,NA,739
NA,Estimated total,1,NA,22,161,485,NA,NA,2202,NA,741
NA,"Rate per 100,000 inhabitants",NA,NA,2.6,19.4,58.3,NA,NA,264.7,NA,89.1
"Altoona, PA M.S.A.",NA,124942,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Blair County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Altoona,45158,156,1,23,37,95,821,169,619,33
NA,Total area actually reporting,1,266,1,40,46,179,1698,238,1405,55
NA,"Rate per 100,000 inhabitants",NA,212.9,0.8,32,36.8,143.3,1359,190.5,1124.5,44
"Amarillo, TX M.S.A.2",NA,263223,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Amarillo,200141,1414,11,162,260,981,9472,1797,6756,919
NA,Total area actually reporting,1,1560,14,188,269,1089,10352,2004,7321,1027
NA,"Rate per 100,000 inhabitants",NA,592.7,5.3,71.4,102.2,413.7,3932.8,761.3,2781.3,390.2
"Ames, IA M.S.A.",NA,97202,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Story County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Ames,66333,107,1,39,15,52,1077,164,867,46
NA,Total area actually reporting,0.93,141,1,51,16,73,1517,235,1203,79
NA,Estimated total,1,158,1,54,17,86,1640,262,1293,85
NA,"Rate per 100,000 inhabitants",NA,162.5,1,55.6,17.5,88.5,1687.2,269.5,1330.2,87.4
"Anchorage, AK M.S.A.",NA,315641,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Anchorage Municipality and Matanuska-Susitna Borough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Anchorage,299097,3422,28,542,695,2157,14649,2008,10599,2042
NA,Total area actually reporting,1,3519,28,548,709,2234,15626,2070,11413,2143
NA,"Rate per 100,000 inhabitants",NA,1114.9,8.9,173.6,224.6,707.8,4950.6,655.8,3615.8,678.9
"Ann Arbor, MI M.S.A.",NA,361440,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Washtenaw County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Ann Arbor,117688,213,1,44,43,125,2051,242,1697,112
NA,Total area actually reporting,1,1147,2,190,186,769,5956,921,4597,438
NA,"Rate per 100,000 inhabitants",NA,317.3,0.6,52.6,51.5,212.8,1647.9,254.8,1271.9,121.2
"Anniston-Oxford-Jacksonville, AL M.S.A.",NA,114790,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Calhoun County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Anniston,22205,735,7,39,87,602,1712,712,888,112
NA,City of Oxford,17066,63,0,0,7,56,763,127,615,21
NA,City of Jacksonville,12150,123,0,6,16,101,501,140,335,26
NA,Total area actually reporting,0.993,1023,8,59,123,833,3743,1263,2298,182
NA,Estimated total,1,1027,8,59,124,836,3768,1268,2316,184
NA,"Rate per 100,000 inhabitants",NA,894.7,7,51.4,108,728.3,3282.5,1104.6,2017.6,160.3
"Appleton, WI M.S.A.",NA,234069,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Calumet and Outagamie Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Appleton,74439,208,2,30,20,156,1294,175,1080,39
NA,Total area actually reporting,1,354,4,60,31,259,3110,404,2605,101
NA,"Rate per 100,000 inhabitants",NA,151.2,1.7,25.6,13.2,110.7,1328.7,172.6,1112.9,43.1
"Asheville, NC M.S.A.3",NA,451305,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Buncombe, Haywood, Henderson, and Madison Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Asheville,89546,537,10,48,144,335,4357,752,3345,260
NA,Total area actually reporting,0.995,1079,23,98,245,713,NA,NA,6866,722
NA,Estimated total,1,1085,23,98,247,717,NA,NA,6918,725
NA,"Rate per 100,000 inhabitants",NA,240.4,5.1,21.7,54.7,158.9,NA,NA,1532.9,160.6
"Athens-Clarke County, GA M.S.A.",NA,205004,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Athens-Clarke County,123934,533,4,53,163,313,4100,822,3054,224
NA,Total area actually reporting,1,700,6,78,176,440,5757,1145,4301,311
NA,"Rate per 100,000 inhabitants",NA,341.5,2.9,38,85.9,214.6,2808.2,558.5,2098,151.7
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",NA,5790619,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Atlanta,472579,5121,111,136,2070,2804,24804,4411,16400,3993
NA,City of Sandy Springs,107685,117,3,14,66,34,2837,532,2091,214
NA,City of Roswell,95684,143,2,23,42,76,1702,228,1391,83
NA,City of Alpharetta,64943,35,1,5,20,9,1308,135,1129,44
NA,City of Marietta,59516,233,1,12,117,103,2282,307,1825,150
NA,Total area actually reporting,0.997,23275,395,1385,8324,13171,173043,33252,121238,18553
NA,Estimated total,1,23345,396,1390,8346,13213,173620,33364,121651,18605
NA,"Rate per 100,000 inhabitants",NA,403.2,6.8,24,144.1,228.2,2998.3,576.2,2100.8,321.3
"Auburn-Opelika, AL M.S.A",NA,160071,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lee County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Auburn,63871,210,4,12,31,163,1125,203,844,78
NA,City of Opelika,30180,221,7,18,35,161,1476,233,1158,85
NA,Total area actually reporting,1,916,22,56,94,744,4137,885,2959,293
NA,"Rate per 100,000 inhabitants",NA,572.2,13.7,35,58.7,464.8,2584.5,552.9,1848.6,183
"Augusta-Richmond County, GA-SC M.S.A.",NA,595180,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,2039,44,214,503,1278,18754,3644,13931,1179
NA,Estimated total,1,2040,44,214,503,1279,18761,3645,13937,1179
NA,"Rate per 100,000 inhabitants",NA,342.8,7.4,36,84.5,214.9,3152.2,612.4,2341.6,198.1
"Austin-Round Rock, TX M.S.A.",NA,2054651,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Austin,956911,3903,39,751,1048,2065,33545,5232,26125,2188
NA,City of Round Rock,119308,173,0,31,44,98,2653,303,2270,80
NA,Total area actually reporting,0.999,6510,70,1180,1411,3849,52484,8665,40428,3391
NA,Estimated total,1,6511,70,1180,1411,3850,52501,8668,40441,3392
NA,"Rate per 100,000 inhabitants",NA,316.9,3.4,57.4,68.7,187.4,2555.2,421.9,1968.3,165.1
"Bakersfield, CA M.S.A.",NA,884443,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kern County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bakersfield,378788,1821,32,67,614,1108,17138,3887,10203,3048
NA,Total area actually reporting,1,5128,88,307,1166,3567,32570,8351,17742,6477
NA,"Rate per 100,000 inhabitants",NA,579.8,9.9,34.7,131.8,403.3,3682.5,944.2,2006,732.3
"Baltimore-Columbia-Towson, MD M.S.A.",NA,2797991,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Baltimore,618385,11010,318,299,5236,5157,29547,7375,16855,5317
NA,Total area actually reporting,1,19873,395,909,7743,10826,78076,14986,54549,8541
NA,"Rate per 100,000 inhabitants",NA,710.3,14.1,32.5,276.7,386.9,2790.4,535.6,1949.6,305.3
"Bangor, ME M.S.A.",NA,152658,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Penobscot County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bangor,32264,75,0,15,30,30,1340,180,1123,37
NA,Total area actually reporting,1,146,0,43,41,62,2964,584,2296,84
NA,"Rate per 100,000 inhabitants",NA,95.6,0,28.2,26.9,40.6,1941.6,382.6,1504,55
"Barnstable Town, MA M.S.A.4",NA,213081,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Barnstable County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Barnstable,43974,199,1,16,15,167,711,133,558,20
NA,Total area actually reporting,1,NA,1,73,35,NA,3329,850,2346,133
NA,"Rate per 100,000 inhabitants",NA,NA,0.5,34.3,16.4,NA,1562.3,398.9,1101,62.4
"Baton Rouge, LA M.S.A.",NA,833146,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Baton Rouge,228389,2143,47,123,824,1149,9934,2364,6907,663
NA,Total area actually reporting,0.997,4198,79,278,1166,2675,28229,5994,20831,1404
NA,Estimated total,1,4207,79,279,1167,2682,28310,6008,20894,1408
NA,"Rate per 100,000 inhabitants",NA,505,9.5,33.5,140.1,321.9,3398,721.1,2507.8,169
"Battle Creek, MI M.S.A",NA,133914,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Calhoun County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Battle Creek,60904,594,3,83,64,444,2325,607,1629,89
NA,Total area actually reporting,1,1e3,7,178,89,726,4205,1065,2979,161
NA,"Rate per 100,000 inhabitants",NA,746.7,5.2,132.9,66.5,542.1,3140.1,795.3,2224.6,120.2
"Bay City, MI M.S.A.",NA,105209,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Bay County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bay City,33725,205,1,50,25,129,925,291,600,34
NA,Total area actually reporting,1,389,3,109,32,245,1950,505,1358,87
NA,"Rate per 100,000 inhabitants",NA,369.7,2.9,103.6,30.4,232.9,1853.5,480,1290.8,82.7
"Beaumont-Port Arthur, TX M.S.A.2",NA,408167,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hardin, Jefferson, Newton, and Orange Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Beaumont,118283,1316,14,86,379,837,5065,1460,3299,306
NA,City of Port Arthur,55510,362,5,18,105,234,1829,580,1123,126
NA,Total area actually reporting,0.971,2308,27,167,573,1541,10979,3034,7111,834
NA,Estimated total,1,2342,27,171,581,1563,11185,3083,7246,856
NA,"Rate per 100,000 inhabitants",NA,573.8,6.6,41.9,142.3,382.9,2740.3,755.3,1775.3,209.7
"Beckley, WV M.S.A",NA,121287,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Fayette and Raleigh Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Beckley,16940,214,3,14,38,159,1278,246,984,48
NA,Total area actually reporting,0.957,491,12,34,57,388,3144,836,2161,147
NA,Estimated total,1,506,12,36,59,399,3323,865,2301,157
NA,"Rate per 100,000 inhabitants",NA,417.2,9.9,29.7,48.6,329,2739.8,713.2,1897.2,129.4
"Bellingham, WA M.S.A",NA,215331,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Whatcom County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bellingham,86005,224,0,61,47,116,4743,751,3709,283
NA,Total area actually reporting,1,483,4,124,69,286,6997,1388,5182,427
NA,"Rate per 100,000 inhabitants",NA,224.3,1.9,57.6,32,132.8,3249.4,644.6,2406.5,198.3
"Bend-Redmond, OR M.S.A.",NA,180071,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Deschutes County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bend,89244,96,0,17,20,59,2010,178,1740,92
NA,City of Redmond,29164,80,1,13,9,57,973,84,801,88
NA,Total area actually reporting,1,273,2,47,30,194,3909,438,3229,242
NA,"Rate per 100,000 inhabitants",NA,151.6,1.1,26.1,16.7,107.7,2170.8,243.2,1793.2,134.4
"Billings, MT M.S.A.",NA,170245,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Carbon, Golden Valley, and Yellowstone Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Billings,111447,514,0,61,81,372,5216,723,3698,795
NA,Total area actually reporting,0.997,641,3,79,92,467,6141,912,4316,913
NA,Estimated total,1,642,3,79,92,468,6156,913,4329,914
NA,"Rate per 100,000 inhabitants",NA,377.1,1.8,46.4,54,274.9,3616,536.3,2542.8,536.9
"Binghamton, NY M.S.A.",NA,243328,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Broome and Tioga Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Binghamton,45780,353,4,41,93,215,1844,436,1306,102
NA,Total area actually reporting,0.997,703,6,153,146,398,5165,1066,3890,209
NA,Estimated total,1,704,6,153,146,399,5177,1068,3900,209
NA,"Rate per 100,000 inhabitants",NA,289.3,2.5,62.9,60,164,2127.6,438.9,1602.8,85.9
"Bismarck, ND M.S.A.",NA,129489,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Burleigh, Morton, Oliver, and Sioux Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bismarck,73248,212,2,35,29,146,2472,468,1715,289
NA,Total area actually reporting,1,380,3,62,34,281,3676,704,2523,449
NA,"Rate per 100,000 inhabitants",NA,293.5,2.3,47.9,26.3,217,2838.9,543.7,1948.4,346.7
"Blacksburg-Christiansburg-Radford, VA M.S.A.",NA,181407,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Blacksburg,44528,43,0,19,3,21,409,62,333,14
NA,City of Christiansburg,22134,35,0,12,3,20,575,62,505,8
NA,City of Radford,17504,83,1,22,8,52,316,60,244,12
NA,Total area actually reporting,1,359,5,115,27,212,3051,470,2474,107
NA,"Rate per 100,000 inhabitants",NA,197.9,2.8,63.4,14.9,116.9,1681.9,259.1,1363.8,59
"Bloomington, IL M.S.A.",NA,189092,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes DeWitt and McLean Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bloomington,78604,307,0,42,59,206,1347,224,1064,59
NA,Total area actually reporting,0.947,503,3,89,91,320,2720,464,2163,93
NA,Estimated total,1,524,3,92,97,332,2890,491,2297,102
NA,"Rate per 100,000 inhabitants",NA,277.1,1.6,48.7,51.3,175.6,1528.4,259.7,1214.8,53.9
"Bloomington, IN M.S.A.",NA,166354,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Monroe and Owen Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bloomington,84772,378,2,46,70,260,2703,546,2011,146
NA,Total area actually reporting,0.876,491,4,71,81,335,3967,773,2950,244
NA,Estimated total,1,520,5,75,85,355,4207,833,3106,268
NA,"Rate per 100,000 inhabitants",NA,312.6,3,45.1,51.1,213.4,2528.9,500.7,1867.1,161.1
"Boise City, ID M.S.A.",NA,693703,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Boise,220749,657,6,143,51,457,5134,732,4066,336
NA,Total area actually reporting,1,1693,17,349,103,1224,12282,2193,9139,950
NA,"Rate per 100,000 inhabitants",NA,244.1,2.5,50.3,14.8,176.4,1770.5,316.1,1317.4,136.9
"Boston-Cambridge-Newton, MA-NH M.S.A.4",NA,4798657,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Boston, MA",673880,4767,49,278,1530,2910,14489,1837,11429,1223
NA,"City of Cambridge, MA",111030,294,2,28,76,188,2369,326,1924,119
NA,"City of Newton, MA",89116,46,0,3,11,32,642,80,544,18
NA,"City of Framingham, MA",71422,211,0,8,18,185,831,122,655,54
NA,"City of Waltham, MA",63613,99,1,12,8,78,688,109,550,29
NA,Total area actually reporting,0.98,NA,88,1263,3399,NA,65828,9496,51258,5074
NA,Estimated total,1,NA,89,1291,3445,NA,67153,9729,52254,5170
NA,"Rate per 100,000 inhabitants",NA,NA,1.9,26.9,71.8,NA,1399.4,202.7,1088.9,107.7
"Boston, MA M.D.4",NA,1994514,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Norfolk, Plymouth, and Suffolk Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.957,NA,58,632,2260,NA,30970,4471,24142,2357
NA,Estimated total,1,NA,59,657,2302,NA,32158,4682,25032,2444
NA,"Rate per 100,000 inhabitants",NA,NA,3,32.9,115.4,NA,1612.3,234.7,1255,122.5
"Cambridge-Newton-Framingham, MA M.D.",NA,2373065,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Essex and Middlesex Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.997,5562,25,451,1060,4026,29097,4291,22354,2452
NA,Estimated total,1,5582,25,453,1063,4041,29193,4308,22426,2459
NA,"Rate per 100,000 inhabitants",NA,235.2,1.1,19.1,44.8,170.3,1230.2,181.5,945,103.6
"Rockingham County-Strafford County, NH M.D.",NA,431078,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Rockingham and Strafford Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.992,632,5,180,79,368,5761,734,4762,265
NA,Estimated total,1,637,5,181,80,371,5802,739,4796,267
NA,"Rate per 100,000 inhabitants",NA,147.8,1.2,42,18.6,86.1,1345.9,171.4,1112.6,61.9
"Boulder, CO M.S.A.",NA,324108,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Boulder County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Boulder,109189,258,0,52,30,176,3275,559,2497,219
NA,Total area actually reporting,1,766,1,222,82,461,7501,1128,5875,498
NA,"Rate per 100,000 inhabitants",NA,236.3,0.3,68.5,25.3,142.2,2314.4,348,1812.7,153.7
"Bowling Green, KY M.S.A.",NA,170204,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Allen, Butler, Edmonson, and Warren Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bowling Green,64561,204,4,51,85,64,2773,379,2236,158
NA,Total area actually reporting,1,280,6,74,91,109,3664,691,2740,233
NA,"Rate per 100,000 inhabitants",NA,164.5,3.5,43.5,53.5,64,2152.7,406,1609.8,136.9
"Bremerton-Silverdale, WA M.S.A.",NA,262877,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kitsap County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bremerton,39862,198,0,29,38,131,1576,257,1159,160
NA,Total area actually reporting,1,680,1,112,93,474,6993,1458,5e3,535
NA,"Rate per 100,000 inhabitants",NA,258.7,0.4,42.6,35.4,180.3,2660.2,554.6,1902,203.5
"Bridgeport-Stamford-Norwalk, CT M.S.A.",NA,935988,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Fairfield County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Bridgeport,148180,1115,10,69,441,595,3258,667,1857,734
NA,City of Stamford,130116,351,2,29,119,201,2073,268,1613,192
NA,City of Norwalk,88989,295,1,18,65,211,1427,239,1034,154
NA,City of Danbury,85335,161,0,30,75,56,1363,168,1056,139
NA,City of Stratford,52841,67,0,6,34,27,1160,177,867,116
NA,Total area actually reporting,1,2151,14,175,801,1161,13423,2137,9686,1600
NA,"Rate per 100,000 inhabitants",NA,229.8,1.5,18.7,85.6,124,1434.1,228.3,1034.8,170.9
"Brownsville-Harlingen, TX M.S.A.",NA,423865,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cameron County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Brownsville,185583,448,4,50,130,264,6028,917,4960,151
NA,City of Harlingen,65913,281,2,35,58,186,2590,503,2018,69
NA,Total area actually reporting,1,1607,8,201,224,1174,12101,2116,9654,331
NA,"Rate per 100,000 inhabitants",NA,379.1,1.9,47.4,52.8,277,2854.9,499.2,2277.6,78.1
"Brunswick, GA M.S.A.",NA,116597,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Brantley, Glynn, and McIntosh Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Brunswick,16309,164,3,5,36,120,775,196,528,51
NA,Total area actually reporting,1,434,5,27,85,317,3520,850,2470,200
NA,"Rate per 100,000 inhabitants",NA,372.2,4.3,23.2,72.9,271.9,3018.9,729,2118.4,171.5
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",NA,1127663,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Erie and Niagara Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Buffalo,257446,2857,44,153,1049,1611,10599,2631,7133,835
NA,City of Cheektowaga Town,78100,181,2,22,68,89,2523,280,2128,115
NA,City of Niagara Falls,48675,565,3,14,199,349,2402,551,1665,186
NA,Total area actually reporting,1,4635,55,373,1566,2641,27260,5206,20555,1499
NA,"Rate per 100,000 inhabitants",NA,411,4.9,33.1,138.9,234.2,2417.4,461.7,1822.8,132.9
"Burlington, NC M.S.A.",NA,159667,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Alamance County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Burlington,52760,392,6,15,71,300,1833,430,1309,94
NA,Total area actually reporting,1,625,11,28,99,487,3744,985,2570,189
NA,"Rate per 100,000 inhabitants",NA,391.4,6.9,17.5,62,305,2344.9,616.9,1609.6,118.4
"California-Lexington Park, MD M.S.A.",NA,111930,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes St. Mary's County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,227,2,28,31,166,2075,413,1591,71
